id,date_proposed,date_opened,date_closed,taken,ticker,creator,structure,strike,expiry,dte,contracts,spot_at_idea,premium_per_share,credit_or_debit,capital_at_risk,exp_roc_pct,exp_weekly_pct,exp_acct_pct,max_loss_pct,status,realized_pnl,realized_roc_pct,realized_acct_pct,invalidation,notes,paper_status,paper_pnl,paper_roc_pct,paper_acct_pct,live_stock,live_option_mid,mtm_asof,source_group,inventory_id,confidence,confidence_reason
11,2026-08-17,,,proposed,OSCR,TLI+Danny,stock+CC,33,2026-08-21,4,1,32.53,0.78,78,3253,0.024,0.042,0.0031,,proposed,,,,daily close <$27.08,"Mon pre-open KEEP 1 lot. Buy 100 sh ~32.53, sell Aug21 33c at CBOE bid 0.78. Expire 2.4% ROC. Called ~3.8% ROC / 0.50% acct. Caps Danny $33.27 validation on purpose. Do not add if weak.",expired,29.0,0.008915,0.00058,29.6,0.0,2026-09-25 13:00:00 PT,emailed,2026-08-17-AM-OSCR,High,"TLI and Danny overlap at a stated zone, 100sh under the $6,250 cap."
12,2026-08-17,,,proposed,NVO,Stocktimus,stock+CC,45,2026-08-21,4,1,44.79,0.59,59,4479,0.0132,0.0231,0.0024,,proposed,,,,daily close under $41.53,"Mon midday email. Buy 100 sh ~44.79, sell Aug21 45c credit 0.59. Expire 1.3% ROC. Called 1.8% ROC.",expired,80.0,0.017861,0.0016,38.8,,2026-09-25 13:00:00 PT,emailed,2026-08-17-noon-NVO,Medium,"Single-feed Stocktimus CC at the printed $41.53 zone, 100sh under the cap."
13,2026-08-17,,,proposed,GRRR,TLI,CSP,14,2026-08-21,4,1,16.03,0.4,40,1400,0.0286,0.05,0.0016,1,proposed,,,,daily close under $13.50,Mon midday email. Sell 1x Aug21 14p credit 0.40. If assigned basis ~13.60. Morning cut was earnings; Stocktimus ticketed it after the print.,expired,40.0,0.028571,0.0008,14.01,,2026-09-25 13:00:00 PT,emailed,2026-08-17-noon-GRRR,Medium,"Single-feed TLI CSP at the printed $13.50 buy zone, under the cap."
14,2026-08-17,,,proposed,CSIQ,Lucas,stock+CC,15,2026-08-21,4,1,14.79,0.4,40,1479,0.027,0.0473,0.0016,,proposed,,,,daily close under $14,"Mon midday email. Buy 100 sh ~14.79, sell Aug21 15c credit 0.40. Expire 2.7% ROC. Called 4.1% ROC. Thu 8/20 midday: ~$14.54, out if close under $14.",expired,16.0,0.010818,0.00032,10.95,0.0,2026-09-24 13:20:00 PT,emailed,2026-08-17-noon-CSIQ,Medium,"Single-feed Lucas CC at the printed $14 zone, 100sh under the cap."
15,2026-08-18,,,proposed,DRAM,Stocktimus,CSP,55,2026-08-28,10,1,55,0.89,89,5500,0.0162,0.0113,0.0036,1,proposed,,,,daily close under $52.65,Tue 8/18 pre-open email. Sell 1x Aug28 55p credit 0.89. If assigned basis ~54.11.,expired,89.0,0.016182,0.00178,61.91,,2026-09-25 13:28:58 PT,emailed,2026-08-18-AM-DRAM,Medium,"Single-feed CSP at the stated Danny $50–56 zone, one lot under the cap."
16,2026-08-18,,,proposed,NKE,Stocktimus,stock+CC,39.5,2026-08-21,3,1,39.57,0.41,41,3957,0.0104,0.0242,0.0016,,proposed,,,,daily close under $38,"Tue 8/18 pre-open email. Buy 100 sh ~39.57, sell Aug21 39.50c credit 0.41. Expire 1.0% ROC.",expired,34.0,0.008592,0.00068,35.75,,2026-09-25 13:29:55 PT,emailed,2026-08-18-AM-NKE,Medium,"Single-feed Stocktimus CC at the printed $38 zone, 100sh under the cap."
17,2026-08-18,,,proposed,ZETA,Stocktimus,stock+CC,29,2026-08-21,3,1,28.82,0.65,65,2882,0.0226,0.0526,0.0026,,proposed,,,,daily close under $26.50,"Tue 8/18 pre-open email. Buy 100 sh ~28.82, sell Aug21 29c credit 0.65. Expire 2.3% / called 2.8%.",expired,82.0,0.028443,0.00164,29.57,,2026-09-24 13:18:57 PT,emailed,2026-08-18-AM-ZETA,Medium,"Single-feed Stocktimus CC at the printed $26.50 zone, 100sh under the cap."
18,2026-08-18,,,proposed,IREN,Stocktimus,stock+CC,44,2026-08-21,3,1,43.28,2.2,220,4328,0.0508,0.1186,0.0088,,proposed,,,,daily close under $41.70,"Tue 8/18 pre-open email. Buy 100 sh ~43.28, sell Aug21 44c credit 2.20. Expire 5.1% ROC. Midday 8/18 still live at $41.84; kill is close under $41.70. Wed 8/19: closed $42.00, held $41.70. New overlay is Aug21 42.50c.",expired,80.0,0.018484,0.0016,44.125,0.0,2026-09-25 13:30:31 PT,emailed,2026-08-18-AM-IREN,Medium,"IREN overlay at the $41.70 support, single feed, 100sh under the cap."
19,2026-08-18,,,proposed,ADUR,TLI,stock+CC,15,2026-08-21,3,1,15.45,0.75,75,1545,0.0485,0.1132,0.003,,proposed,,,,daily close under $15,"Tue 8/18 midday email. TLI hold $15. Buy 100 sh ~15.45, sell Aug21 15c credit 0.75. Expire 4.9% ROC.",expired,30.0,0.019417,0.0006,12.56,,2026-09-24 13:21:12 PT,emailed,2026-08-18-noon-ADUR,Medium,"Single-feed TLI CC at the printed $15 hold, 100sh under the cap."
20,2026-08-18,,,proposed,OWL,Stocktimus,stock+CC,11.5,2026-08-21,3,1,11.69,0.25,25,1169,0.0214,0.0499,0.001,,proposed,,,,daily close under $10,"Tue 8/18 midday email. Buy 100 sh ~11.69, sell Aug21 11.50c credit 0.25. Expire 2.1% ROC.",expired,6.0,0.005133,0.00012,9.32,,2026-09-25 13:12:18 PT,emailed,2026-08-18-noon-OWL,Low,No real buy/support zone — only a loose $10 kill far under spot.
21,2026-08-19,,,proposed,IREN,Stocktimus,stock+CC,42.5,2026-08-21,2,1,42,1.42,142,4200,0.033,0.1155,0.0057,,proposed,,,,daily close under $41.70,"Wed 8/19 pre-open email. If still long IREN shares, sell Aug21 42.50c credit 1.17. 2.8% if expires. Overlay vs Tue 44c ticket. Midday 8/19: tagged $39.48 (under $41.70 kill intraday). Same ticket still listed. Thu 8/20 email: same overlay, credit now ~1.42 / $142 (3.3%). Kill still close under $41.70. Midday 8/20: if no call sold, use Aug21 $42c instead. Day low $41.11.",expired,57.0,0.013418,0.00114,44.125,0.0,2026-09-25 13:30:31 PT,emailed,2026-08-19-AM-IREN-4250c,Medium,"IREN overlay at the $41.70 support, single feed, under the cap."
22,2026-08-19,,,proposed,NVO,TLI,CSP,45.5,2026-08-28,9,1,45.5,0.73,73,4550,0.016,0.0125,0.0029,1,proposed,,,,daily close under $41.53,Wed 8/19 pre-open email. TLI buy zone below 45.46. Sell 1x Aug28 45.50p credit 0.73. Skip if already long NVO from Mon midday stock+CC.,expired,73.0,0.016044,0.00146,38.8,,2026-09-25 13:00:00 PT,emailed,2026-08-19-AM-NVO-CSP,Medium,"Single-feed TLI CSP at the printed buy zone below $45.46, under the cap."
23,2026-08-19,,,proposed,PFE,TLI,stock+CC,28.5,2026-08-28,9,1,28.3,0.32,32,2830,0.0113,0.0088,0.0013,,proposed,,,,daily close under $27,"Wed 8/19 midday email. TLI safe haven, needs >$28.77. Buy 100 sh ~28.30, sell Aug28 28.50c credit 0.32. Expire 1.1% ROC. Thu 8/20: if not taken, superseded by Aug28 $28c.",expired,-2.0,-0.000707,-4e-05,28.41,0.0,2026-09-24 13:25:24 PT,emailed,2026-08-19-noon-PFE,Medium,"Single-feed TLI CC at the safe-haven zone, 100sh under the cap."
24,2026-08-20,,,proposed,PFE,TLI,stock+CC,28,2026-08-28,8,1,28.02,0.4,40,2802,0.0143,0.0125,0.0016,,proposed,,,,daily close under $27,"Thu 8/20 pre-open email. If Wed 28.50c not taken: buy 100 sh ~27.97, sell Aug28 28c credit 0.55. Expire 2.0% ROC. Midday 8/20: still not taken; credit now ~0.40 / $40 (1.4%).",expired,54.0,0.019306,0.00108,28.41,0.0,2026-09-24 13:25:24 PT,emailed,2026-08-20-AM-PFE,Medium,"Single-feed TLI CC alternative at the same $27 zone, 100sh under the cap."
25,2026-08-13,,,proposed,HIMS,Stocktimus,stock+CC,30,2026-08-21,8,1,29.35,0.83,83,2935,0.028279,,0.00332,,proposed,,,,daily close under $27.50,Aug 13 noon Stocktimus email (was missing from CSV). Gmail send_message L247 subject 'Daily stock signals — Aug 13 (trade ideas)'; also chat SendMessage L174 ~2.8% in 8 days (if expires); ~5.0% if called at $30. Weekly % not printed.,invalidated,-113.0,-0.038501,-0.00226,29.42,,2026-09-25 13:00:00 PT,emailed,2026-08-13-noon-HIMS,Medium,"Single-feed Stocktimus CC at the printed $27.50 zone, 100sh under the cap."
26,2026-08-13,,,proposed,JD,Stocktimus,stock+CC,30,2026-08-21,8,1,29.35,0.28,28,2935,0.00954,,0.00112,,proposed,,,,,Aug 13 noon Stocktimus email (was missing from CSV). Gmail send_message L247; chat L174 ~1.0% if expires; ~3.2% if called at $30,expired,30.0,0.010221,0.0006,26.75,0.0,2026-09-24 13:24:29 PT,emailed,2026-08-13-noon-JD,Medium,Single-feed Stocktimus CC under the cap at a printed idea.
27,2026-08-13,,,proposed,IREN,Stocktimus,stock+CC,45,2026-08-21,8,1,44.48,2.04,204,4448,0.045863,,0.00816,,proposed,,,,,Aug 13 noon Stocktimus email (was missing from CSV). Gmail send_message L247; chat L174 ~4.6% if expires; ~5.8% if called at $45,expired,-56.0,-0.01259,-0.00112,44.125,0.0,2026-09-25 13:30:31 PT,emailed,2026-08-13-noon-IREN,Medium,"First IREN CC is Stocktimus-only with no printed support, so not High; 100sh under the cap."
28,2026-08-13,,,proposed,ASTS,Stocktimus,CSP,70,2026-08-21,8,1,71.97,2.31,231,7000,0.033,,0.00924,,proposed,,,,,"Aug 13 noon Stocktimus email (was missing from CSV). Gmail send_message L247; chat L174. Email said if picking two: HIMS CC and ASTS $70 put. ~3.3% on the $7,000 cash if expires",expired,96.0,0.013714,0.00192,61.06,,2026-09-24 13:24:20 PT,emailed,2026-08-13-noon-ASTS,Low,"Conflicted name and $7,000 cash over the $6,250 cap."
29,2026-08-20,,,proposed,IREN,Stocktimus,stock+CC,42,2026-08-21,1,1,41.7,0.59,59,4170,0.0141,0.099,0.0024,,proposed,,,,daily close under $41.70,Thu 8/20 midday email. If no 42.50c sold and close holds 41.70: sell Aug21 42c credit 0.59. 1.4% if expires. Day low $41.11.,expired,77.0,0.018465,0.00154,44.125,0.0,2026-09-25 13:30:31 PT,emailed,2026-08-20-noon-IREN-42c,Medium,"IREN overlay at the $41.70 support, single feed, 100sh under the cap."
30,2026-08-21,,,proposed,OSCR,Stocktimus,stock+CC,32,2026-08-28,7,1,31.54,1.06,106,3154,0.0336,0.0336,0.0042,,proposed,,,,daily close under $28,"Fri 8/21 pre-open email. Buy 100 sh ~31.54, sell Aug28 32c credit 1.06. Expire 3.4%/wk. Medium.",expired,-1.0,-0.000317,-2e-05,29.6,0.0,2026-09-25 13:00:00 PT,emailed,2026-08-21-AM-OSCR,Medium,"Danny ribbon + TLI still likes OSCR; stock under $32-33 resistance, not in $28-30 zone."
31,2026-08-21,,,proposed,JD,Stocktimus,stock+CC,30,2026-08-28,7,1,29.41,0.32,32,2941,0.0109,0.0109,0.0013,,proposed,,,,daily close under $27.94,"Fri 8/21 pre-open email. Buy 100 sh ~29.41, sell Aug28 30c credit 0.32. Expire 1.1%/wk. Medium.",expired,-35.0,-0.011901,-0.0007,26.75,0.0,2026-09-24 13:24:29 PT,emailed,2026-08-21-AM-JD,Medium,TLI buy zone at the 0.618. Single feed.
32,2026-08-21,,,proposed,CLMT,Stocktimus,stock+CC,49,2026-09-18,28,1,48.49,2.75,275,4849,0.0672,0.0168,0.011,,proposed,,,,,"Fri 8/21 pre-open email. Buy 100 sh ~48.49, sell Sep18 49c credit 2.75. If called ~1.8%/wk. Medium. Previously skipped as quote too wide.",expired,326.0,0.06723,0.00652,53.65,,2026-09-25 13:00:00 PT,emailed,2026-08-21-AM-CLMT,Medium,"Zero Sum hold. Next monthly, no weekly. Under cap."
33,2026-08-21,,,proposed,NVO,Stocktimus,stock+CC,47,2026-08-28,7,1,46.27,0.56,56,4627,0.0121,0.0121,0.0022,,proposed,,,,daily close under $44,"Fri 8/21 pre-open email. Buy 100 sh ~46.27, sell Aug28 47c credit 0.56. Expire 1.2%/wk. Medium. Skip if already long NVO.",expired,-10.0,-0.002161,-0.0002,38.8,0.0,2026-09-25 13:00:00 PT,emailed,2026-08-21-AM-NVO,Medium,TLI Top 10 in the $46-47 dip. Next add $48.
34,2026-08-21,,,proposed,IREN,TLI,stock+CC,43,2026-08-28,7,1,41.28,2.2,220,4128,0.0533,0.0533,0.0088,,proposed,,,,daily close under $40.77,"Fri 8/21 midday email. TLI $40.77 retest. Buy 100 sh ~41.28, sell Aug28 43c credit 2.20. Expire 5.3%/wk. Medium.",invalidated,73.0,0.017684,0.00146,44.125,,2026-09-25 13:30:31 PT,emailed,2026-08-21-noon-IREN,Medium,TLI at the $40.77 0.5 Fib retest. Single feed. Under the cap.
35,2026-08-21,,,proposed,PFE,Stocktimus,stock+CC,28,2026-08-28,7,1,27.98,0.32,32,2798,0.0114,0.0114,0.0013,,proposed,,,,daily close under $26.50,"Fri 8/21 midday email. Buy 100 sh ~27.98, sell Aug28 28c credit 0.32. Expire 1.1%/wk. Medium. Morning OSCR/JD/CLMT/NVO still stand; no second lots on NVO/CLMT.",expired,30.0,0.010722,0.0006,28.41,0.0,2026-09-24 13:25:24 PT,emailed,2026-08-21-noon-PFE,Medium,TLI safe haven at $28 / $28.80 Wave 3 line. Single feed.
36,2026-08-24,,,proposed,CELH,TLI+Danny,stock+CC,34,2026-08-28,4,1,33.36,0.77,77,3336,0.0231,0.0404,0.0031,,proposed,,,,daily close under $32.50,"Mon 8/24 pre-open email. Danny weekly red + TLI Wave 3. Buy 100 sh ~33.36, sell Aug28 34c credit 0.77. Expire 2.3% ROC. Medium.",expired,39.0,0.011691,0.00078,28.43,0.0,2026-09-24 13:24:51 PT,emailed,2026-08-24-AM-CELH,Medium,Danny weekly red candle + TLI Wave 3. Under the cap. Not a fresh dual add zone.
37,2026-08-24,,,proposed,OPEN,TLI,stock+CC,3.5,2026-08-28,4,1,3.53,0.13,13,353,0.0368,0.0645,0.0005,,proposed,,,,daily close under $3.20,"Mon 8/24 pre-open email. TLI buy under $5. Buy 100 sh ~3.53, sell Aug28 3.50c credit 0.13. Expire 3.7% ROC. Medium. 1 lot only.",expired,-11.0,-0.031161,-0.00022,2.53,0.0,2026-09-24 13:25:34 PT,emailed,2026-08-24-AM-OPEN,Medium,TLI 200 WMA / buy under $5. Single feed.
38,2026-08-24,,,proposed,SOFI,Danny,stock+CC,19,2026-08-28,4,1,18.91,0.46,46,1891,0.0243,0.0426,0.0018,,proposed,,,,daily close under $17.70,"Mon 8/24 pre-open email. Danny red ribbon. Buy 100 sh ~18.91, sell Aug28 19c credit 0.46. Expire 2.4% ROC. Medium.",expired,-39.0,-0.020624,-0.00078,16.58,0.0,2026-09-25 13:32:41 PT,emailed,2026-08-24-AM-SOFI,Medium,Danny red ribbon at the top of $15.9–18.8 support. Single feed.
39,2026-08-25,,,proposed,HIMS,TLI+Danny,stock+CC,32,2026-08-28,3,1,31.28,0.65,65,3128,0.0208,0.0485,0.0026,,proposed,,,,daily close under $30,"Tue 8/25 pre-open email. TLI $30-31 + Danny $30. Buy 100 sh ~31.28, sell Aug28 32c credit 0.65. Expire 2.1% ROC. High. Thu 8/27: Aug28 $32c is out. Replaced by Sep4 $30.50c.",invalidated,-80.0,-0.025575,-0.0016,29.42,,2026-09-25 13:00:00 PT,emailed,2026-08-25-AM-HIMS,High,"TLI $30–31 and Danny $30 support, both at the zone, under the cap."
40,2026-08-25,,,proposed,ADUR,TLI,stock+CC,15,2026-09-18,24,1,15.24,1.5,150,1524,0.0984,0.0287,0.006,,proposed,,,,daily close under $15.15,"Tue 8/25 pre-open email. TLI Chemelot visit, no weekly. Buy 100 sh ~15.24, sell Sep18 15c credit 1.50. 2.8%/wk over the monthly. Medium.",invalidated,135.0,0.088583,0.0027,12.56,,2026-09-24 13:21:12 PT,emailed,2026-08-25-AM-ADUR,Medium,"TLI 0.38 tests and Chemelot visit. Next monthly, no weekly. Single feed."
41,2026-08-25,,,proposed,RR,TLI,stock+CC,2,2026-08-28,3,1,1.97,0.08,8,197,0.0406,0.0948,0.0003,,proposed,,,,daily close under $1.80,"Tue 8/25 midday email. TLI wedge-break at $2. Buy 100 sh ~1.97, sell Aug28 2c credit 0.08. Expire 4.1% ROC. Medium.",expired,-6.0,-0.030457,-0.00012,1.64,0.0,2026-09-24 13:18:14 PT,emailed,2026-08-25-noon-RR,Medium,TLI wedge-break entry at $2. Single feed. Under the cap.
42,2026-08-25,,,proposed,ONDS,TLI,stock+CC,8.5,2026-08-28,3,1,8.23,0.14,14,823,0.017,0.0397,0.0006,,proposed,,,,daily close under $8,"Tue 8/25 midday email. TLI third buy zone at $8. Buy 100 sh ~8.23, sell Aug28 8.50c credit 0.14. Expire 1.7% ROC. Medium.",expired,-19.0,-0.023086,-0.00038,7.64,0.0,2026-09-25 13:00:00 PT,emailed,2026-08-25-noon-ONDS,Medium,TLI third buy zone at $8. Single feed.
43,2026-08-25,,,proposed,GRRR,TLI,stock+CC,14,2026-08-28,3,1,13.78,0.58,58,1378,0.0421,0.0982,0.0023,,proposed,,,,daily close under $13.55,"Tue 8/25 midday email. TLI hold / Wave 3 on the $13.55 add. Buy 100 sh ~13.78, sell Aug28 14c credit 0.58. Expire 4.2% ROC. Medium. Skip if already four live.",expired,80.0,0.058055,0.0016,14.01,,2026-09-25 13:00:00 PT,emailed,2026-08-25-noon-GRRR,Medium,TLI hold / Wave 3 sitting on the $13.55 add. Single feed. Skip if already four live.
44,2026-08-26,,,proposed,IBRX,Danny,stock+CC,8.5,2026-09-04,9,1,8.19,0.29,29,819,0.0354,0.0275,0.0012,,proposed,,,,daily close under $7.68,"Wed 8/26 pre-open email. Danny IBRX daily at $8.23. Buy 100 sh ~8.19, sell Sep4 8.50c credit 0.29. 2.8%/wk. Medium.",expired,18.0,0.021978,0.00036,8.64,0.0,2026-09-24 13:20:46 PT,emailed,2026-08-26-AM-IBRX,Medium,Danny daily at the $8.23 resume line. Single feed. Under the cap.
45,2026-08-26,,,proposed,ZVRA,TLI,stock+CC,12,2026-09-18,23,1,12.04,0.61,61,1204,0.0507,0.0154,0.0024,,proposed,,,,daily close under $11,"Wed 8/26 pre-open email. TLI triangle under $12.15. No weekly, next monthly. Buy 100 sh ~12.04, sell Sep18 12c credit 0.61. 1.5%/wk. Medium. Wide ask.",expired,18.0,0.01495,0.00036,11.04,0.0,2026-09-25 13:00:00 PT,emailed,2026-08-26-AM-ZVRA,Medium,TLI triangle under the $12.15 50-DMA. Next monthly. Single feed.
46,2026-08-27,,,proposed,HIMS,TLI+Danny,stock+CC,30.5,2026-09-04,8,1,30.17,1.05,105,3017,0.0348,0.0304,0.0042,,proposed,,,,daily close under $29.70,"Thu 8/27 pre-open email. TLI $30 + Danny yellow. Buy 100 sh ~30.17, sell Sep4 30.50c credit 1.05. 3.0%/wk. High. New lot after Aug28 32c out. Fri 8/28: Danny invalid updated to $29.70 (was $29.62).",invalidated,-28.0,-0.009281,-0.00056,29.42,,2026-09-25 13:00:00 PT,emailed,2026-08-27-AM-HIMS,High,"TLI $30 and Danny yellow, both at the zone, under the cap."
48,2026-08-27,,,proposed,KHC,TLI,stock+CC,25,2026-09-04,8,1,25.13,0.4,40,2513,0.0159,0.0139,0.0016,,proposed,,,,daily close under $24,"Thu 8/27 midday email. Medium. TLI safe-haven at $24 0.5 Fib / 50-WMA. Buy 100 sh ~25.13, sell Sep4 25c credit 0.40 (CBOE last; 0.21x0.45). 1.4%/wk on $2,513. Ex-div Sep4. One lot.",expired,12.0,0.004775,0.00024,23.86,0.0,2026-09-24 13:24:24 PT,emailed,2026-08-27-noon-KHC,Medium,TLI safe-haven at the $24 0.5 Fib / 50-WMA. Single feed. Under the cap.
49,2026-08-28,,,proposed,ZETA,TLI+Danny,stock+CC,30.0,2026-09-04,7,1,29.77,1.22,122,2977,0.041,0.041,0.00488,,proposed,,,,daily close under $28.80,"Fri 8/28 pre-open email. High. TLI hold/flip $30 + Danny red candle expand $30.39 / inv $28.80. Buy 100 sh ~29.77, sell Sep4 30c credit 1.22 (CBOE last; 1.14x1.20). 4.1%/wk on $2,977. One lot.",expired,145.0,0.048707,0.0029,29.57,,2026-09-24 13:18:57 PT,emailed,2026-08-28-AM-ZETA,High,"TLI hold/flip $30 and Danny red candle at $30 / invalid $28.80, both at the zone, under the cap."
50,2026-08-28,,,proposed,NVO,TLI,stock+CC,46.0,2026-09-04,7,1,46.21,1.06,106,4621,0.0229,0.0229,0.00424,,proposed,,,,daily close under $45,"Fri 8/28 pre-open email. Medium. TLI BUY ALERT @ $46. Buy 100 sh ~46.21, sell Sep4 46c credit 1.06 (CBOE last; 0.97x1.05). 2.3%/wk on $4,621. After Aug28 NVO lots expire. One lot.",expired,85.0,0.018394,0.0017,38.8,,2026-09-25 13:00:00 PT,emailed,2026-08-28-AM-NVO,Medium,TLI BUY ALERT @ $46. Single feed. Under the cap.
51,2026-08-28,,,proposed,GRRR,TLI,stock+CC,15.0,2026-09-04,7,1,14.34,0.42,42,1434,0.0293,0.0293,0.00168,,proposed,,,,daily close under $13,"Fri 8/28 midday email. Medium. TLI range hold 200DMA/0.5Fib to amber $16.25. Buy 100 sh ~14.34, sell Sep4 15c credit 0.42 (CBOE last; 0.35x0.55). 2.9%/wk on $1,434. One lot.",expired,-13.0,-0.009066,-0.00026,14.01,0.0,2026-09-25 13:00:00 PT,emailed,2026-08-28-noon-GRRR,Medium,TLI support-range hold (200-DMA / 0.5 Fib to amber $16.25). Single feed. Under the cap.
52,2026-08-31,,,proposed,SOFI,Danny,stock+CC,18.0,2026-09-11,11,1,17.87,0.51,51,1787,0.0285,0.0182,0.00204,,proposed,,,,daily close under $16.50,"Mon 8/31 morning email. Medium. Danny Stage 1 base $14-18. Buy 100 sh ~17.87, sell Sep11 18c credit 0.51 (CBOE last; 0.50x0.52). 1.8%/wk on $1,787. One lot.",expired,-4.0,-0.002238,-8e-05,16.58,0.0,2026-09-25 13:32:41 PT,emailed,2026-08-31-AM-SOFI,Medium,"Danny Stage 1 base $14–$18, stock inside the base, under the cap. TLI still wants $25 — not overlap. One lot."
